external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
f0a9c72a-e450-41e3-80e5-06f2f1171245,mtg,KHM,184,Masked Vandal,NM,normal,en,1,0.0946,2026-06-20,airtable:Masked Vandal
d82bfc55-8ebd-4a0f-b301-027b76416f7d,mtg,CLB,492,Agent of the Iron Throne,NM,foil,en,1,0.0946,2026-06-20,airtable:Agent of the Iron Throne
b1b55a58-6317-4406-93a7-373f05ebdb45,mtg,C21,385,Surge to Victory,LP,normal,en,1,0.0946,2026-06-20,airtable:Surge to Victory
08e17883-0767-40b5-ac44-a52a1ea54993,mtg,MRD,187,Iron Myr,LP,normal,en,1,0.0946,2026-06-20,airtable:Iron Myr
bd3071c4-6269-4c6b-9324-3d2284ec616d,mtg,C21,195,Incubation Druid,NM,normal,en,1,0.0946,2026-06-20,airtable:Incubation Druid
b79cb394-eb91-4b3b-91d4-c6a0f723feb1,mtg,C14,270,Sol Ring,MP,normal,en,1,0.0946,2026-06-20,airtable:Sol Ring
712c8708-cd43-4f1e-b520-ef90cf2ba72d,mtg,CMR,648,Fleshbag Marauder,LP,normal,en,1,0.0946,2026-06-20,airtable:Fleshbag Marauder Extended Art
dbd78b03-312b-4bbf-a4f6-d5095545a11b,mtg,DDU,65,Darksteel Citadel,LP,normal,en,1,0.0946,2026-06-20,airtable:Darksteel Citadel
8ee63809-729b-48b1-a06d-3edc2a26208f,mtg,WOT,63,Utopia Sprawl,LP,foil,en,1,0.0946,2026-06-20,airtable:Wilds of Eldraine: Enchanting Tales
d4323aa6-a1fb-42ee-9634-3747129fde3b,mtg,TSP,99,Curse of the Cabal,LP,normal,en,1,0.0946,2026-06-20,airtable:Curse of Cabal
c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994,mtg,CMM,4,Pathrazer of Ulamog,LP,normal,en,1,0.0946,2026-06-20,airtable:Pathrazer of Ulamog
490d714e-1ccb-4ad0-9854-f14da2e90f7c,mtg,9ED,2,Angelic Blessing,LP,normal,en,1,0.0946,2026-06-20,airtable:Blessing
4535a44d-9a36-4079-9250-583a27989b07,mtg,LTR,658,Gandalf the Grey,LP,normal,en,1,0.0946,2026-06-20,airtable:Gandalf the Grey Showcase Scrolls
dc143ba3-2a58-4980-9fa0-a05a9e9ed082,mtg,CMM,98,Ghostly Flicker,LP,normal,en,1,0.0946,2026-06-20,airtable:Ghostly Flicker
97da6607-9131-4f8b-8af3-63439a59b78b,mtg,DOM,72,Unwind,LP,normal,en,1,0.0946,2026-06-20,airtable:Unwind
0a70778e-8171-4d97-b86c-d4d92b7e7f06,mtg,TMP,121,Dauthi Ghoul,LP,normal,en,3,0.0946,2026-06-20,airtable:Dauthi Ghoul
36b05c98-7799-4104-a0d0-3632bd5b8846,mtg,STX,382,Decisive Denial,LP,foil,en,1,0.0946,2026-06-20,airtable:Decisive Denial
e85e54f3-012b-460f-a6f9-d0242a174adc,mtg,CHR,74,Chromium,MP,normal,en,1,0.0946,2026-06-20,airtable:Chromium
5b94f37f-ebdf-4b79-a615-58331d27cf4e,mtg,ALL,89,Elvish Spirit Guide,MP,normal,en,1,0.0946,2026-06-20,airtable:Elvish Spirit Guide
2a7c6489-21e9-4b86-a54a-b1e2f1fce318,mtg,ICE,270,Tinder Wall,LP,normal,en,1,0.0946,2026-06-20,airtable:Tinder Wall
5d45c18c-b8eb-465c-8dfc-fd6da73e25b5,mtg,CLB,116,Blood Money,LP,normal,en,1,0.0946,2026-06-20,airtable:Blood Money
8cff3ef0-4dfb-472e-aa1e-77613dd0f6d8,mtg,KHM,262,Ice Tunnel,MP,foil,en,1,0.0946,2026-06-20,airtable:Ice Tunnel
9e6c7750-bc3b-4790-bc9d-88e2cf16881e,mtg,MIR,111,Carrion,LP,normal,en,1,0.0946,2026-06-20,airtable:Carrion
145d6d7b-1e87-47b7-baf3-d201458ad996,mtg,M13,87,Diabolic Revelation,MP,normal,en,1,0.0946,2026-06-20,airtable:Diabolic Reveloation
829710f9-6554-4391-bdb1-2ccdefc2caf5,mtg,CMR,389,Unquestioned Authority,NM,normal,en,1,0.0946,2026-06-20,airtable:Unquestioned Authority
babd2248-5517-4b7b-a159-9a1f7b5583c8,mtg,DMR,54,High Tide,LP,normal,en,1,0.0946,2026-06-20,airtable:High Tide
842df5a8-c3d9-4d35-b90d-93f502603feb,mtg,MIC,58,"Gorex, the Tombshell",NM,normal,en,1,0.0946,2026-06-20,"airtable:Gorex, the Tombshell Extended Art"
e781b55f-6388-4ab8-be74-7c56eaba1c4d,mtg,OTC,183,Vandalblast,LP,normal,en,1,0.0946,2026-06-20,airtable:Vandalblast
30584c53-533b-4dc7-b07c-8600164a99b3,mtg,FIC,1,"Celes, Rune Knight",NM,normal,en,1,0.0946,2026-06-20,"airtable:Celes, Rune Knight"
49dfee68-c242-4579-94b1-c23238f8c87d,mtg,40K,86,Aberrant,NM,normal,en,1,0.0946,2026-06-20,airtable:Aberrant
d4800a7d-c229-4ced-97ff-0e58645d58d6,mtg,2XM,100,Oubliette,NM,normal,en,1,0.0946,2026-06-20,airtable:Oubliette
d896dd52-b134-4b55-ab91-ccb05ecc50f4,mtg,LCI,105,Fanatical Offering,LP,normal,en,1,0.0946,2026-06-20,airtable:Fanatical Offering
2523c403-0025-48c7-8ff1-e66ca27ee585,mtg,UDS,102,Compost,LP,normal,en,1,0.0946,2026-06-20,airtable:Compost
413bec4e-e2ce-46f1-b038-6e359cd78b53,mtg,CN2,44,Marchesa's Decree,LP,normal,en,1,0.0946,2026-06-20,airtable:Marchesa's Decree
